login,link,followers,following,follow_ratio,public_repos,contributions,stars,total_size,user_feedback,aura,most_popular_repo_forked
dickoa,https://github.com/dickoa,151.0,51.0,2.9607843137254903,143.0,17.0,9.0,589930.0,0,8583,False
nomisum,https://github.com/nomisum,12.0,17.0,0.7058823529411765,29.0,569.0,1.0,989629.0,0,550,False
michael3012,https://github.com/michael3012,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-8233,
guyoverfelt,https://github.com/guyoverfelt,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-4242,
nhillhou,https://github.com/nhillhou,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-5175,
Wolfreeze,https://github.com/Wolfreeze,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0,4,
klivin,https://github.com/klivin,24.0,34.0,0.7058823529411765,20.0,147.0,1.0,272385.0,0,420,False
jarednipper,https://github.com/jarednipper,9.0,0.0,0.0,2.0,3.0,0.0,35428.0,0,1287,True
pabloacastillo,https://github.com/pabloacastillo,67.0,70.0,0.9571428571428572,13.0,4.0,36.0,2193151.0,0,-513,False
eisebs,https://github.com/eisebs,3.0,0.0,0.0,1.0,0.0,1.0,120.0,0,10,False
aschmidt,https://github.com/aschmidt,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-424,
eemelin,https://github.com/eemelin,2.0,0.0,0.0,5.0,0.0,1.0,713197.0,0,100,False
sigus,https://github.com/sigus,6.0,3.0,2.0,4.0,7.0,1.0,1623158.0,0,4,False
ianckc,https://github.com/ianckc,20.0,1.0,20.0,28.0,47.0,141.0,33714.0,0,2372,False
bobbypify,https://github.com/bobbypify,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
Rainlin,https://github.com/Rainlin,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-4242,
ksadmin,https://github.com/ksadmin,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-12736,
FranciscoRatb,https://github.com/FranciscoRatb,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
king-messaui,https://github.com/king-messaui,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-7252,
SharePerson,https://github.com/SharePerson,2.0,0.0,0.0,11.0,0.0,2.0,34311.0,0,-1347,False
bjornar,https://github.com/bjornar,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-8323,
v-garcia,https://github.com/v-garcia,6.0,1.0,6.0,22.0,4.0,14.0,15470.0,0,500,False
mackuz,https://github.com/mackuz,2.0,2.0,1.0,1.0,0.0,0.0,326.0,0,-50,True
Johannesb,https://github.com/Johannesb,4.0,0.0,0.0,2.0,0.0,0.0,542.0,0,-500,True
tiecalhehops,https://github.com/tiecalhehops,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-9723,
plasunpepwind,https://github.com/plasunpepwind,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
peterb130,https://github.com/peterb130,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-7000,
brunoneves,https://github.com/brunoneves,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
soloeskuchalo,https://github.com/soloeskuchalo,5.0,0.0,0.0,1.0,0.0,1.0,385.0,0,0,True
itsbear,https://github.com/itsbear,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-4242,
jeffgyoung,https://github.com/jeffgyoung,5.0,0.0,0.0,5.0,0.0,0.0,822366.0,0,50,True
bschaf,https://github.com/bschaf,11.0,8.0,1.375,3.0,0.0,0.0,5572.0,0,-10,True
zhangkf,https://github.com/zhangkf,33.0,46.0,0.717391304347826,40.0,2.0,10.0,19044.0,0,65,False
jarpiain,https://github.com/jarpiain,3.0,0.0,0.0,2.0,0.0,27.0,1260.0,0,-394,False
petervd,https://github.com/petervd,4.0,3.0,1.3333333333333333,39.0,0.0,0.0,575743.0,0,200,False
brettschultz,https://github.com/brettschultz,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-4242,
marvins,https://github.com/marvins,12.0,8.0,1.5,24.0,62.0,15.0,1529179.0,0,1,False
linyaDev,https://github.com/linyaDev,6.0,3.0,2.0,4.0,2.0,2.0,4513920.0,0,2,False
joshbaltzell,https://github.com/joshbaltzell,3.0,1.0,3.0,1.0,0.0,0.0,1852.0,0,-50,True
jburfoot,https://github.com/jburfoot,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
moranium,https://github.com/moranium,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-4242,
jayyen,https://github.com/jayyen,1.0,0.0,0.0,1.0,6.0,0.0,13.0,0,-1100,False
ikonstant,https://github.com/ikonstant,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-7234,
Manlai,https://github.com/Manlai,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
artiche,https://github.com/artiche,2.0,0.0,0.0,9.0,1.0,1.0,46598.0,0,102,False
stuartluscombe,https://github.com/stuartluscombe,2.0,1.0,2.0,4.0,0.0,0.0,1473.0,0,-1042,False
johny989,https://github.com/johny989,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-5252,
msk-nightingale,https://github.com/msk-nightingale,2.0,0.0,0.0,3.0,0.0,0.0,256.0,0,-7123,False
whitejinx,https://github.com/whitejinx,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-4242,
iwane021,https://github.com/iwane021,18.0,51.0,0.3529411764705882,159.0,23.0,6.0,361915.0,0,62,False
jspaw,https://github.com/jspaw,5.0,0.0,0.0,3.0,0.0,3.0,312.0,0,-81237,False
vspader,https://github.com/vspader,5.0,0.0,0.0,1.0,0.0,0.0,205.0,0,-100,True
dewback,https://github.com/dewback,24.0,23.0,1.0434782608695652,12.0,0.0,8.0,106090.0,0,6723,False
aidliaTest,https://github.com/aidliaTest,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-6362,
sberan,https://github.com/sberan,43.0,49.0,0.8775510204081632,64.0,916.0,79.0,280834.0,0,2567,False
ihildebrandt,https://github.com/ihildebrandt,13.0,0.0,0.0,75.0,13.0,3.0,1058180.0,0,130,False
regmi,https://github.com/regmi,7.0,2.0,3.5,29.0,0.0,26.0,1252544.0,0,526,False
challinan,https://github.com/challinan,5.0,5.0,1.0,36.0,31.0,2.0,103784.0,0,573,False
philpeace,https://github.com/philpeace,5.0,1.0,5.0,16.0,0.0,6.0,66084.0,0,-1237,False
abderrahim,https://github.com/abderrahim,11.0,0.0,0.0,48.0,181.0,8.0,405796.0,0,4012,True
trucklos,https://github.com/trucklos,5.0,5.0,1.0,13.0,166.0,0.0,1587038.0,0,3650,False
qzhuyan,https://github.com/qzhuyan,31.0,6.0,5.166666666666667,68.0,1198.0,6.0,345313.0,0,5500,True
TkmdjVo,https://github.com/TkmdjVo,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,
redvulps,https://github.com/redvulps,13.0,4.0,3.25,12.0,96.0,4.0,11082.0,0,20,False
vih,https://github.com/vih,2.0,0.0,0.0,91.0,0.0,11.0,925012.0,0,500,False
s0undt3ch,https://github.com/s0undt3ch,145.0,20.0,7.25,36.0,1445.0,8.0,945821.0,0,1000,False
biggerbrain62,https://github.com/biggerbrain62,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-8235,
JamesBiddinger,https://github.com/JamesBiddinger,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-6394,
orfah,https://github.com/orfah,3.0,1.0,3.0,23.0,0.0,0.0,207979.0,0,10,False
chaas08,https://github.com/chaas08,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1384,
cung,https://github.com/cung,2.0,0.0,0.0,1.0,0.0,1.0,48.0,0,-2846,False
brandonfro,https://github.com/brandonfro,3.0,1.0,3.0,2.0,20.0,0.0,0.0,0,5,False
colourtvset,https://github.com/colourtvset,3.0,2.0,1.5,2.0,0.0,0.0,2352.0,0,-3738,False
mstssk,https://github.com/mstssk,47.0,24.0,1.9583333333333333,88.0,1166.0,7.0,303283.0,0,-37,False
aharonp,https://github.com/aharonp,0.0,0.0,0.0,13.0,0.0,0.0,878167.0,0,-8234,True
wolfib,https://github.com/wolfib,57.0,0.0,0.0,19.0,0.0,159.0,2622418.0,0,2576,False
dododedodonl,https://github.com/dododedodonl,16.0,11.0,1.4545454545454546,42.0,385.0,4.0,949376.0,0,2053,False
yatta,https://github.com/yatta,8.0,1.0,8.0,0.0,0.0,0.0,0.0,0,-5000,
Oceloyotl,https://github.com/Oceloyotl,5.0,0.0,0.0,1.0,0.0,0.0,90.0,0,-2000,True
metal3d,https://github.com/metal3d,185.0,5.0,37.0,154.0,363.0,1001.0,112601.0,0,2500,False
mhan,https://github.com/mhan,17.0,12.0,1.4166666666666667,31.0,0.0,10.0,920263.0,0,-10,False
clayschick,https://github.com/clayschick,5.0,0.0,0.0,24.0,0.0,5.0,137702.0,0,-7583,False
recremd,https://github.com/recremd,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-5689,
nithins,https://github.com/nithins,16.0,2.0,8.0,21.0,1.0,15.0,1479952.0,0,1000,False
azare,https://github.com/azare,22.0,14.0,1.5714285714285714,54.0,5.0,14.0,296660.0,0,-1247,True
hiroyam,https://github.com/hiroyam,8.0,1.0,8.0,19.0,1.0,29.0,21803.0,0,999,False
LiteralDean,https://github.com/LiteralDean,3.0,1.0,3.0,4.0,0.0,3.0,7150.0,0,-1738,False
duketxl,https://github.com/duketxl,3.0,2.0,1.5,1.0,4.0,0.0,6889.0,0,2,True
v1ct0r,https://github.com/v1ct0r,5.0,1.0,5.0,15.0,0.0,0.0,168146.0,0,1,True
berowar,https://github.com/berowar,30.0,66.0,0.4545454545454545,6.0,284.0,2.0,2641.0,0,1999,False
gunasekhar,https://github.com/gunasekhar,3.0,0.0,0.0,1.0,0.0,1.0,48.0,0,-6282,False
Jeremyrlim,https://github.com/Jeremyrlim,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
dbdraper,https://github.com/dbdraper,3.0,1.0,3.0,2.0,0.0,2.0,2292.0,0,-1856,False
chanks,https://github.com/chanks,57.0,2.0,28.5,49.0,6.0,71.0,316772.0,0,999,False
freyandras,https://github.com/freyandras,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-4242,
jgreywolf,https://github.com/jgreywolf,10.0,0.0,0.0,12.0,904.0,3.0,65655.0,0,19230,False
Eunjin,https://github.com/Eunjin,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-4242,
useti,https://github.com/useti,6.0,3.0,2.0,35.0,3.0,1.0,1796142.0,0,566,False
loki666,https://github.com/loki666,21.0,1.0,21.0,14.0,273.0,13.0,1636443.0,0,75,True
ehssanh,https://github.com/ehssanh,5.0,3.0,1.6666666666666667,5.0,0.0,4.0,359034.0,0,-102,False
LORFEUVRE,https://github.com/LORFEUVRE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-4982,
nhatnam,https://github.com/nhatnam,1.0,0.0,0.0,1.0,0.0,1.0,48.0,0,1,False
destic,https://github.com/destic,1.0,0.0,0.0,1.0,0.0,0.0,121.0,0,-1251,True
ekarious,https://github.com/ekarious,21.0,19.0,1.105263157894737,17.0,629.0,5.0,76018.0,0,123903,False
esdaniel,https://github.com/esdaniel,32.0,87.0,0.367816091954023,2.0,0.0,0.0,553.0,0,-266,False
comuelle,https://github.com/comuelle,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
lioprineser,https://github.com/lioprineser,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-7852,
riahehosi,https://github.com/riahehosi,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9,
mikl2,https://github.com/mikl2,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-7425,
UsH-zz,https://github.com/UsH-zz,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-8274,
psmyth,https://github.com/psmyth,5.0,0.0,0.0,6.0,0.0,0.0,1342.0,0,53,False
michaelavila,https://github.com/michaelavila,77.0,97.0,0.7938144329896907,55.0,0.0,83.0,725482.0,0,402,False
npickens,https://github.com/npickens,16.0,2.0,8.0,7.0,22.0,12.0,7597.0,0,1593,False
yumyai,https://github.com/yumyai,9.0,8.0,1.125,23.0,12.0,4.0,991919.0,0,809,False
volte,https://github.com/volte,5.0,0.0,0.0,6.0,33.0,0.0,187114.0,0,567,False
rohitjenveja,https://github.com/rohitjenveja,2.0,0.0,0.0,7.0,0.0,0.0,59660.0,0,-100,False
Soaa-,https://github.com/Soaa-,8.0,1.0,8.0,12.0,0.0,95.0,282286.0,0,2540,False
arezaei,https://github.com/arezaei,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-4242,
abelnation,https://github.com/abelnation,29.0,2.0,14.5,95.0,5.0,24.0,31141.0,0,525,False
tim0-college,https://github.com/tim0-college,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-6294,
heretic-zz,https://github.com/heretic-zz,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-7000,
zfghclient,https://github.com/zfghclient,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-5200,
trevorknowlt,https://github.com/trevorknowlt,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-5262,
x-sangeeth,https://github.com/x-sangeeth,4.0,1.0,4.0,24.0,0.0,0.0,5197720.0,0,250,True
ppanyukov,https://github.com/ppanyukov,14.0,3.0,4.666666666666667,61.0,0.0,15.0,3393801.0,0,10000,False
Altrius,https://github.com/Altrius,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
rrader,https://github.com/rrader,46.0,27.0,1.7037037037037035,147.0,122.0,20.0,328110.0,0,182,False
heidner,https://github.com/heidner,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-4242,
sergeych,https://github.com/sergeych,33.0,1.0,33.0,44.0,59.0,64.0,35204.0,0,23,False
Usman-Gosign,https://github.com/Usman-Gosign,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-4242,
tom3q,https://github.com/tom3q,198.0,10.0,19.8,40.0,5.0,208.0,3618010.0,0,-1834,False
gunterze,https://github.com/gunterze,124.0,0.0,0.0,10.0,468.0,43.0,162738.0,0,1000,False
barcino,https://github.com/barcino,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
doppelreim,https://github.com/doppelreim,3.0,0.0,0.0,3.0,0.0,0.0,1311.0,0,0,False
Saneke,https://github.com/Saneke,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0,2,
Shugyousha,https://github.com/Shugyousha,15.0,1.0,15.0,41.0,29.0,13.0,1279230.0,0,20,True
snvv,https://github.com/snvv,2.0,0.0,0.0,3.0,12.0,0.0,0.0,0,-1000,False
fireant,https://github.com/fireant,10.0,7.0,1.4285714285714286,45.0,1.0,33.0,736611.0,0,560,False
peigen,https://github.com/peigen,15.0,31.0,0.4838709677419355,12.0,0.0,4.0,48750.0,0,234,False
muvetesack,https://github.com/muvetesack,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-4242,
fleipold,https://github.com/fleipold,27.0,14.0,1.9285714285714288,28.0,1.0,211.0,802689.0,0,2560,False
BlairDuncan,https://github.com/BlairDuncan,6.0,1.0,6.0,1.0,0.0,0.0,39424.0,0,-4205,True
gitanat,https://github.com/gitanat,0.0,0.0,0.0,34.0,0.0,592.0,909110.0,0,-9245,False
tanderegg,https://github.com/tanderegg,46.0,25.0,1.84,95.0,80.0,6.0,287430.0,0,100,False
watisdit,https://github.com/watisdit,5.0,0.0,0.0,1.0,0.0,1.0,4447.0,0,-100,True
scottcsims,https://github.com/scottcsims,33.0,66.0,0.5,22.0,0.0,35.0,650638.0,0,758,False
kennygadams,https://github.com/kennygadams,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-4242,
